deja vu	deja_vu
prefrontal cortex	prefrontal_cortex
holloway circus	holloway_circus
slippery slope	slippery_slope
sanjay gupta	sanjay_gupta
lymph node	lymph_node
russell barkley	russell_barkley
transcranial magnetic	transcranial_magnetic
tai chi	tai_chi
frontal lobe	frontal_lobe
bla bla	bla_bla
harry potter	harry_potter
nsun bulletin	nsun_bulletin
claire weekes	claire_weekes
wreak havoc	wreak_havoc
guinea pig	guinea_pig
pernicious anaemia	pernicious_anaemia
peanut butter	peanut_butter
patrick jane	patrick_jane
sheldon cooper	sheldon_cooper
connective tissue	connective_tissue
roller coaster	roller_coaster
vice versa	vice_versa
beta blocker	beta_blocker
reuptake inhibitor	reuptake_inhibitor
dopaminergic neuron	dopaminergic_neuron
radisson hotel	radisson_hotel
nasal spray	nasal_spray
apparent hauntings	apparent_hauntings
fairy tale	fairy_tale
epsom salt	epsom_salt
status quo	status_quo
buddy mack	buddy_mack
peripheral neuropathy	peripheral_neuropathy
bi polar	bi_polar
spinal cord	spinal_cord
statutory agency	statutory_agency
rag vortex	rag_vortex
magnetic stimulation	magnetic_stimulation
south africa	south_africa
et al	et_al
wild coyote	wild_coyote
jason bull	jason_bull
subclinical hypothyroidism	subclinical_hypothyroidism
voluntary sector	voluntary_sector
asylum discovery	asylum_discovery
impend doom	impend_doom
bull fox	bull_fox
neural pathway	neural_pathway
guest speaker	guest_speaker
mr shaz	mr_shaz
psoriatic arthritis	psoriatic_arthritis
north eastern	north_eastern
fraudulent celebrity	fraudulent_celebrity
amino acid	amino_acid
folic acid	folic_acid
crystal meth	crystal_meth
ghost asylum	ghost_asylum
thirty shade	thirty_shade
grand scheme	grand_scheme
magic wand	magic_wand
blah blah	blah_blah
maladaptive daydream	maladaptive_daydream
rheumatoid arthritis	rheumatoid_arthritis
auto immune	auto_immune
borderline asexuality	borderline_asexuality
festive season	festive_season
eastern usa	eastern_usa
hep c	hep_c
adrenal gland	adrenal_gland
hidden username	hidden_username
bill prady	bill_prady
cocreator bill	cocreator_bill
minimum wage	minimum_wage
genetic predisposition	genetic_predisposition
leaky gut	leaky_gut
ct scan	ct_scan
domestic violence	domestic_violence
sector organisation	sector_organisation
mayo clinic	mayo_clinic
cognitive tempo	cognitive_tempo
root canal	root_canal
generalise anxiety_disorder	generalise_anxiety_disorder
non existent	non_existent
rail station	rail_station
downward spiral	downward_spiral
traffic island	traffic_island
rapid cycling	rapid_cycling
red flag	red_flag
tegretol xr	tegretol_xr
sunflower afternoon	sunflower_afternoon
network nsun	network_nsun
facial expression	facial_expression
acid reflux	acid_reflux
north west	north_west
martial art	martial_art
ha ha	ha_ha
monthly networking	monthly_networking
dopamine agonist	dopamine_agonist
ice cream	ice_cream
generalize anxiety_disorder	generalize_anxiety_disorder
muscle relaxer	muscle_relaxer
land module	land_module
unpardonable sin	unpardonable_sin
fatty acid	fatty_acid
cnn profile	cnn_profile
litter box	litter_box
username hidden	username_hidden
bare minimum	bare_minimum
herbal remedy	herbal_remedy
coconut oil	coconut_oil
alarm bell	alarm_bell
national institute	national_institute
muscle relaxant	muscle_relaxant
mr darcy	mr_darcy
ketamine infusion	ketamine_infusion
mag oil	mag_oil
midlife crisis	midlife_crisis
auditory hallucination	auditory_hallucination
olive oil	olive_oil
obsessive compulsive	obsessive_compulsive
sluggish cognitive	sluggish_cognitive
anti depressant	anti_depressant
art gallery	art_gallery
firm believer	firm_believer
celebrity psychic	celebrity_psychic
rabbit hole	rabbit_hole
gas station	gas_station
paddison program	paddison_program
chemical imbalance	chemical_imbalance
non judgemental	non_judgemental
john wort	john_wort
st john	st_john
descendant city	descendant_city
magic mushroom	magic_mushroom
blur vision	blur_vision
per se	per_se
diagnostic criterion	diagnostic_criterion
brick wall	brick_wall
cognitive behavioural	cognitive_behavioural
defence mechanism	defence_mechanism
discontinuation syndrome	discontinuation_syndrome
multiple sclerosis	multiple_sclerosis
vit d	vit_d
compulsive liar	compulsive_liar
vicious circle	vicious_circle
cluster b	cluster_b
intrinsic factor	intrinsic_factor
inner critic	inner_critic
holy spirit	holy_spirit
cbd oil	cbd_oil
safety net	safety_net
nurse jenn	nurse_jenn
native language	native_language
schizotypal personality_disorder	schizotypal_personality_disorder
fish oil	fish_oil
comedy series	comedy_series
cnn news	cnn_news
hip replacement	hip_replacement
hormonal imbalance	hormonal_imbalance
underactive thyroid	underactive_thyroid
deaf ear	deaf_ear
cognitive impairment	cognitive_impairment
bulk bill	bulk_bill
edge sword	edge_sword
slide scale	slide_scale
soup kitchen	soup_kitchen
drama queen	drama_queen
alarm clock	alarm_clock
frown upon	frown_upon
cold turkey	cold_turkey
cognitive behavioral	cognitive_behavioral
bang theory	bang_theory
survival instinct	survival_instinct
fresh air	fresh_air
police officer	police_officer
rock bottom	rock_bottom
birth defect	birth_defect
defense mechanism	defense_mechanism
dx 'd	dx_'d
national survivor	national_survivor
cognitive distortion	cognitive_distortion
dr sanjay	dr_sanjay
healthcare provider	healthcare_provider
prostate cancer	prostate_cancer
major depressive_disorder	major_depressive_disorder
passive aggressive	passive_aggressive
liaison service	liaison_service
atypical antipsychotic	atypical_antipsychotic
hot flash	hot_flash
bowel movement	bowel_movement
muscle spasm	muscle_spasm
mri scan	mri_scan
vitamin d3	vitamin_d3
chest tightness	chest_tightness
wellbutrin xl	wellbutrin_xl
vicious cycle	vicious_cycle
seroquel xr	seroquel_xr
sore throat	sore_throat
mod edit	mod_edit
autism spectrum	autism_spectrum
credit card	credit_card
8th grade	8th_grade
victim mentality	victim_mentality
sexually assault	sexually_assault
persistent depressive_disorder	persistent_depressive_disorder
effexor xr	effexor_xr
b12 deficiency	b12_deficiency
schizotypal pd	schizotypal_pd
restless leg	restless_leg
sexually arouse	sexually_arouse
survivor user	survivor_user
grocery store	grocery_store
natural selection	natural_selection
cop mechanism	cop_mechanism
grocery shopping	grocery_shopping
beyond blue	beyond_blue
brutally honest	brutally_honest
hot flush	hot_flush
punch bag	punch_bag
sexual orientation	sexual_orientation
electric shock	electric_shock
bank account	bank_account
heavy metal	heavy_metal
pure o	pure_o
vitamin d	vitamin_d
human being	human_being
creative outlet	creative_outlet
dry mouth	dry_mouth
discovery science	discovery_science
allergic reaction	allergic_reaction
light bulb	light_bulb
wide awake	wide_awake
visual hallucination	visual_hallucination
search engine	search_engine
6th grade	6th_grade
socially awkward	socially_awkward
irritable bowel	irritable_bowel
socially acceptable	socially_acceptable
green tea	green_tea
student loan	student_loan
lifetime channel	lifetime_channel
town hall	town_hall
addiction discovery	addiction_discovery
middle east	middle_east
relaxation technique	relaxation_technique
7th grade	7th_grade
rough patch	rough_patch
merry christmas	merry_christmas
lexapro escitalopram	lexapro_escitalopram
coeliac disease	coeliac_disease
adderall xr	adderall_xr
psychotic feature	psychotic_feature
deebi amanda	deebi_amanda
lack thereof	lack_thereof
pharmaceutical company	pharmaceutical_company
breast cancer	breast_cancer
heavy drinker	heavy_drinker
public transport	public_transport
existential crisis	existential_crisis
fur baby	fur_baby
mentalist 5	mentalist_5
per cent	per_cent
